loss,learning_rate,epoch,step,eval_loss,eval_accuracy_metric,eval_precision_metric,eval_recall_metric,eval_f1_metric,eval_matthews_correlation,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3011,6.046213093709885e-05,0.4,308,,,,,,,,,,,,,,
0.2075,6.0333761232349176e-05,0.4,309,,,,,,,,,,,,,,
0.111,6.020539152759949e-05,0.4,310,,,,,,,,,,,,,,
0.0779,6.007702182284981e-05,0.4,311,,,,,,,,,,,,,,
0.0433,5.9948652118100136e-05,0.4,312,,,,,,,,,,,,,,
0.1227,5.982028241335045e-05,0.4,313,,,,,,,,,,,,,,
0.0967,5.969191270860077e-05,0.4,314,,,,,,,,,,,,,,
0.0838,5.95635430038511e-05,0.4,315,,,,,,,,,,,,,,
0.1459,5.943517329910141e-05,0.41,316,,,,,,,,,,,,,,
0.2649,5.930680359435173e-05,0.41,317,,,,,,,,,,,,,,
0.2086,5.917843388960206e-05,0.41,318,,,,,,,,,,,,,,
0.1288,5.9050064184852385e-05,0.41,319,,,,,,,,,,,,,,
0.2047,5.89216944801027e-05,0.41,320,,,,,,,,,,,,,,
0.1711,5.879332477535302e-05,0.41,321,,,,,,,,,,,,,,
0.1559,5.8664955070603346e-05,0.41,322,,,,,,,,,,,,,,
0.2604,5.853658536585366e-05,0.41,323,,,,,,,,,,,,,,
0.2243,5.840821566110398e-05,0.42,324,,,,,,,,,,,,,,
0.1501,5.8279845956354306e-05,0.42,325,,,,,,,,,,,,,,
0.1634,5.815147625160462e-05,0.42,326,,,,,,,,,,,,,,
0.1028,5.802310654685495e-05,0.42,327,,,,,,,,,,,,,,
0.1711,5.789473684210527e-05,0.42,328,,,,,,,,,,,,,,
0.0899,5.776636713735558e-05,0.42,329,,,,,,,,,,,,,,
0.2784,5.763799743260591e-05,0.42,330,,,,,,,,,,,,,,
0.0842,5.750962772785623e-05,0.42,331,,,,,,,,,,,,,,
0.128,5.7381258023106555e-05,0.43,332,,,,,,,,,,,,,,
0.1563,5.725288831835687e-05,0.43,333,,,,,,,,,,,,,,
0.0978,5.7124518613607195e-05,0.43,334,,,,,,,,,,,,,,
0.1724,5.6996148908857515e-05,0.43,335,,,,,,,,,,,,,,
0.0471,5.686777920410783e-05,0.43,336,,,,,,,,,,,,,,
0.285,5.6739409499358156e-05,0.43,337,,,,,,,,,,,,,,
0.3751,5.6611039794608476e-05,0.43,338,,,,,,,,,,,,,,
0.2872,5.648267008985879e-05,0.44,339,,,,,,,,,,,,,,
0.067,5.635430038510912e-05,0.44,340,,,,,,,,,,,,,,
0.6293,5.622593068035944e-05,0.44,341,,,,,,,,,,,,,,
0.0273,5.6097560975609764e-05,0.44,342,,,,,,,,,,,,,,
0.1915,5.596919127086008e-05,0.44,343,,,,,,,,,,,,,,
0.0795,5.5840821566110404e-05,0.44,344,,,,,,,,,,,,,,
0.1305,5.5712451861360725e-05,0.44,345,,,,,,,,,,,,,,
0.3674,5.558408215661104e-05,0.44,346,,,,,,,,,,,,,,
0.1611,5.5455712451861365e-05,0.45,347,,,,,,,,,,,,,,
0.2542,5.5327342747111685e-05,0.45,348,,,,,,,,,,,,,,
0.3378,5.5198973042362e-05,0.45,349,,,,,,,,,,,,,,
0.2647,5.5070603337612326e-05,0.45,350,,,,,,,,,,,,,,
0.1069,5.494223363286265e-05,0.45,351,,,,,,,,,,,,,,
0.1467,5.481386392811296e-05,0.45,352,,,,,,,,,,,,,,
0.2048,5.4685494223363287e-05,0.45,353,,,,,,,,,,,,,,
0.1213,5.4557124518613614e-05,0.45,354,,,,,,,,,,,,,,
0.132,5.4428754813863934e-05,0.46,355,,,,,,,,,,,,,,
0.1952,5.430038510911425e-05,0.46,356,,,,,,,,,,,,,,
0.2357,5.4172015404364574e-05,0.46,357,,,,,,,,,,,,,,
0.1102,5.4043645699614895e-05,0.46,358,,,,,,,,,,,,,,
0.0537,5.391527599486521e-05,0.46,359,,,,,,,,,,,,,,
0.1998,5.3786906290115535e-05,0.46,360,,,,,,,,,,,,,,
0.0881,5.365853658536586e-05,0.46,361,,,,,,,,,,,,,,
0.1264,5.3530166880616175e-05,0.46,362,,,,,,,,,,,,,,
0.2941,5.3401797175866496e-05,0.47,363,,,,,,,,,,,,,,
0.1568,5.327342747111682e-05,0.47,364,,,,,,,,,,,,,,
0.1691,5.3145057766367136e-05,0.47,365,,,,,,,,,,,,,,
0.3001,5.3016688061617456e-05,0.47,366,,,,,,,,,,,,,,
